Category,CounterSpeech,commentText,date,hasReplies,id,likes,numberOfReplies,timestamp,user,Community,replies
7,True,Must be fun being a preacher. Like a certified professional trash talker.,2 years ago,0.0,UghUgICN2ObNZ3gCoAEC,0,0.0,2015-12-05 04:47:33.441,CHRISTIANNWO,lgbt,[]
Default,False,"Manning for President ""telling it like it is"" not christie",2 years ago,0.0,UgjMBwwiYUvViHgCoAEC,1,0.0,2015-12-05 04:47:18.516,GlossyShoes,lgbt,[]
9,True,"Funny to read the redneck hillbillies comments. We shouldn’t even use the word racist to describe these ignorant uneducated incest loving country living white redneck pieces of shits. They think it was ok for the coward ass police to do what they did because that’s what they see on the hill side where they live. Negroes are waking up to who they are as a people based on a scripture in Deutoronomy 28 I believe. 

You white redneck assholes are going to wish you all weren’t born when you all realize who these people are and the way you ALL have treated them. God’s chosen people per Deutoronomy 28:68. Not the devil worshipping fake Jews who own everything.",1 month ago,0.0,UgxabBj9OImMk93efk54AaABAg,0,0.0,2017-11-08 04:45:52.522,Mind Phunk,black,[]
Default,False,You turd sucker can all go to hell. United Snake of sodom and Gomorrah.shame shame. What happen to this country is a sad day.,2 years ago,0.0,Ughb70FP4TwUoXgCoAEC,3,0.0,2015-12-05 04:47:20.516,Mivek Ener,lgbt,[]
1,True,"God desires the salvation of all men - it is the devil who desires their damnation. Why is Anderson making the will of the devil, and not the will of God, his will ? A Christian who says ""I hate X"" is implying that his hatred is accord with God's Will - but how does Anderson know that the hatred in his heart, is in God's Heart ? 

Where does God reveal that He hates Bruce Jenner ? Not in the Bible - and Baptists acknowledge no other source of revelation by God, except the Bible. So Anderson is going beyond Scripture, in hating someone whom God has not revealed that He hates; so by his own standards, Anderson is wrong to hate Bruce Jenner.",11 months ago,1.0,Ughr6vCp2lTeAngCoAEC,1,2.0,2017-01-05 04:45:20.471,James M,lgbt,[]
Default,False,Hitler was put into power by the Jesuits. The Jesuits put the Bolshevik in power to overthrow the Czar and create a reaction of Fascism. Hegelian Dialectic,10 months ago,0.0,UgiFjMd5C27tsngCoAEC,0,0.0,2017-03-05 16:23:24.538,Terraconensis,jews,[]
Default,False,Cops show up and there are 2 guys yelling and screaming at eachother. Of course the cops are gonna cuff both of them. They don't know what is going on or if either of them are violent criminals with weapons,2 months ago,0.0,Ugzkq79S65cazyQ3HcB4AaABAg,0,0.0,2017-10-13 05:30:01.974,sactown916,black,[]
Default,False,"Looks like the person had no respect for the law,  they just had to argue with security ,   The man refused to comply,  he was not ration,  were do you want me to move ... .  .  .?  Ok. Then move.......   This guy was all wrong.  He is not being respective full",1 month ago,0.0,UgxsC2V_LXAPUVBgL0x4AaABAg,0,0.0,2017-11-08 04:45:51.234,Tom English,black,[]
9,True,"There is nothing wrong with people being who they are.  Gender is only one facet of a human being.  The point was that this idiot is condoning violence upon children.  Children are not born to be this or that....  parents, educators, society and jack-holes like you and the asshat in the video are what either diminishes or lifts a child's self worth.",4 years ago,0.0,UgxO9MkLUIUKOWaC4Hh4AaABAg,0,0.0,2013-12-05 04:47:42.144,Tia M.,lgbt,[]
9,True,Those Police are Racists,5 months ago,0.0,UgiOX7l896QZ4ngCoAEC,0,0.0,2017-07-08 04:46:46.798,Fang Tastic,black,[]
5,True,this is horrible!!!! racist!!!!!!!!!,2 years ago,0.0,UghJLYpb-GfDW3gCoAEC,0,0.0,2016-01-05 16:25:57.913,Lisa Jones,jews,[]
Default,False,"I have nothing against Jews personally, but anyone that criticizes Israeli actions these days is considered anti-semitic. Israel is just as out of control as the extremist muslims.",3 years ago,1.0,Ugh4B7IrYMC9CngCoAEC,0,1.0,2015-01-05 16:27:10.116,Skr4x,jews,[]
7,True,"l would not like to see Pastor Sean Harris porn collection, l bet it highly illegal!",4 years ago,0.0,UgyOVT0nT32O108RSIJ4AaABAg,0,0.0,2013-12-05 04:47:41.100,Milo,lgbt,[]
Default,False,a lot of people in power are evil,11 months ago,0.0,Ugi3aNoexU4773gCoAEC,0,0.0,2017-01-05 04:45:20.467,1998fife 24,lgbt,[]
Default,False,"haha, you got to love this world.  look at this redneck talking about White America and White Europe, it doesnt exist buddy.  Wake up and smell the black man who is porking your sister. your nephews will be molatto.  you like that?",10 years ago,0.0,UgzvoY2pDFulKCxtEo94AaABAg,0,0.0,2007-12-05 09:46:42.649,deuce56,jews,[]
Default,False,"The Quran came down to Muhammad (PBUH) who was illetrate. As the cycle of life goes, so do things. Where was America 200 years ago? What were they doing? Raising cows & wearing hats. Where is it now, very foreward. Where was Rome, Persia, England & other countries before, conquering the world, where are they now, not as high as before. The Muslims ruled over 1400 years, & then they had a fall, just like everyone else. The US is still young, in the coming years it will fall & so on it goes.",5 years ago,0.0,Ugyqx32yEodbZKM8_Zh4AaABAg,0,0.0,2012-12-05 09:16:59.226,narutoroxanne22,jews,[]
1,True,"The Creator does not curse the Jews.Muhammad did,& Muslims of today obey the will of Muhammad,in their intolerence of Jews.Muslims do not obey the will of the Creator,bcos I'm sure the Creator is not intolerent,does not persecute.Muhammad was,& did,& Muslims today follow his example.That is not the will of the Creator.",4 years ago,0.0,Ugznk-ukmCAtbb6riah4AaABAg,0,0.0,2013-12-05 09:16:26.807,gary wersley,jews,[]
Default,False,"hello, pls dont talk if u dont know any thing about LTT, Indian Prime minister Rajiv Gandhi was Killed by LTT .. they have threatened people of indian and Srilanka.. 
Next thing is Slaves.. Muhammud ali whos a Boxer from USA after converted to Islam .. He said Im a Muslim and Im not slave any more.. v muslims have never ever Treated any Muslims or any other non muslims has slaves .. if u dont know any thing about Islam and prophet  better stop talking about it.i hate talking to a Stupid like u",4 years ago,0.0,UgyrLyenRYohay6RoHR4AaABAg,0,0.0,2013-12-05 09:16:28.158,Imran Lalu,jews,[]
9,True,fucken white pigs,5 months ago,0.0,UghHcyDAjr9mQHgCoAEC,0,0.0,2017-07-08 04:46:42.522,Jackthegamer 3D,black,[]
5,True,a false propaganda which originated by hitler now the fae muslim ummas promoting such a false propaganda.....,6 years ago,0.0,Ugwwa3axExFh4YwYMMl4AaABAg,0,0.0,2011-12-05 09:13:21.872,Rupesh Saxena,jews,[]
Default,False,I would take an spas-12 and blow some brains,3 years ago,0.0,Ugg2DUteYQkNUngCoAEC,0,0.0,2015-01-05 16:27:15.208,Badass MLG 360 no scope Brotherhood of steel Knight,jews,[]
4,True,"i am a Jew, and i honestly hate the word ""anti-Semitic"" it was coined by racist Europeans as a Euphemism for ""anti-Jewish"" or ""racist"" 
so lets just call it what it is.",3 years ago,1.0,UghsRqti_nLhhXgCoAEC,4,43.0,2015-01-05 16:26:58.104,Beni Habibi,jews,[]
Default,False,If my son were into bestiality-homosexuality id beat him up too.,3 years ago,1.0,UgjkdYQLpzsTpXgCoAEC,0,1.0,2014-12-05 04:47:32.820,BESTIALITY IS THE NEW GAY,lgbt,[]
Default,False,Your very incentive,1 month ago,0.0,UgyJMmRzzCcKuGSY3fN4AaABAg,0,0.0,2017-11-08 04:47:38.159,Araya Pettiford,black,[]
4,True,"I just wanna say if you believe that everyone is untitled to choose the life style they want, and have they're own opinions then why to people ridicule those who don't agree with homosexual marriage? I am a Christian, I believe God sent his only son to earth to bare a punishment no mere man could handle, and die for our sake. That's my belief, I will not say a homosexual is going to hell, why, because that's not my place. Homosexual is the person, homosexuality is the sin. And anyone who continues to sin, whether lying, killing, stealing, homosexuals, adultery, and doesn't confess his sins and doesn't try to make right his wrongs then he/she is leading to a path of destruction ""for the wages of sin is death"" (Romans 6:23)",2 years ago,1.0,Ugi1TIOvdctj9HgCoAEC,0,3.0,2015-12-05 04:45:41.817,Noel Contreras,lgbt,[]
Default,False,the wold in General a tarting to be pistoff of your bushit of religions and God too that is why the end is close for muslin and Juish,6 years ago,0.0,UgyhVgNPsrloRsDLZfZ4AaABAg,0,0.0,2011-12-05 09:17:36.587,Pastorale1234,jews,[]
Default,False,"yes man ... but This Doesn't Mean That We Can Do As Much As Bad Things We Want ... many times when I done bad things, because of the anger or other strong influences on the moment ... I payed for that

and at least being good maybe will be payed, and why not spiritual world should exist ? maybe there are not any gods or satans, but I think that Not Accepting Sooo Hard, At Least, The Possibility That Human Mind Created Spiritual World, it is Strange, it looks like Rejecting God or Spiritual World",5 years ago,0.0,UgzzGmL7o4wPhCGCMxZ4AaABAg,0,0.0,2012-12-05 09:16:50.622,ddf0dr1v3r2,jews,[]
Default,False,oy vey this clerk its like anuddah holocaust,3 years ago,0.0,UgiYa92t4pBkOHgCoAEC,0,0.0,2015-01-05 16:27:02.800,Trid,jews,[]
8,True,"muslims dont hate them, but indivisual people may have different opinions. many jews in the past did kill many islamic prophets, as it says in the quran, that doesnt mean muslims hate them. im not saying this because im muslim, im not, i just converted to christianity from aethism. if muslims god told his people to be close to a certain group it would be the christian and the jews. dont believe me? do some research instead of pulling ignorance out of your mind.",4 years ago,0.0,Ugyqsimx4P1Cql1lYgx4AaABAg,0,0.0,2013-12-05 09:13:04.094,viaana victoria,jews,[]
Default,False,I don’t like her but this is sorta true,2 months ago,0.0,UgxBzOVWEXNTNxGEVmp4AaABAg,0,0.0,2017-10-08 04:48:14.328,Eliza,black,[]
Default,False,RIP hitler - ..... Alhamdulelah !,5 years ago,0.0,Ugwtu6wMssTtlT6tXjR4AaABAg,0,0.0,2012-12-05 09:13:15.585,therealghaddar,jews,[]
Default,False,@MrSword419 u will REAAAALLY regret saying that,6 years ago,0.0,UgylT5GU4guNTqgY7UZ4AaABAg,0,0.0,2011-12-05 09:17:14.615,shahmeer lodi,jews,[]
Default,False,fuck jews,6 years ago,0.0,UgzeRRoASu1WkcEeQn94AaABAg,0,0.0,2011-12-05 09:14:04.264,Roof2,jews,[]
Default,False,1 question does islam believe in world domination,6 years ago,0.0,UgyfsuY_eoe7JkfDvCd4AaABAg,0,0.0,2011-12-05 09:17:15.825,mjhgiug hjfyt,jews,[]
Default,False,Wow great answer Kirk!,3 weeks ago,0.0,Ugxw0M4cNy4tTNkYDNt4AaABAg,0,0.0,2017-11-14 04:40:57.115,Bob,lgbt,[]
Default,False,They hate us because History repeats itself. If the current technology was available back in WW1 and 2 and the Jewish people where on the internet like us Muslims are today. They would be hated by the Nazi like how people hate Muslims today. And the West probably thought that all Germans are Nazi and started hating them. I ask myself. What do the west think of the Germans today? Why don't they hate the all Germans today? Is it because they were wrong? People even buy German made cars these days.,4 years ago,0.0,Ugwen8KoecZvGKOdmuB4AaABAg,0,0.0,2013-12-05 09:13:07.948,Qyuubi786,jews,[]
Default,False,Gay is a sin but God forgives them as he does us .when it says put to death it means spspiritual,2 years ago,0.0,UghlBeLrCvlqy3gCoAEC,0,0.0,2015-12-05 04:47:32.714,Yvette Sandoval,lgbt,[]
Default,False,"When the left started pushing identity politics, they did not think through the dialectic they were starting. The logical ends to this will either be white people stay disorganized and disunited as we are, and be destroyed. Or we organize and defend ourselves. Which also means defending ourselves from some of our own anti-white people(cucks) as the one we have in this video. Mother Nature is pretty much demanding that the events somewhat turn out between these two events. Thus white people going tribal, and back to their roots was already guaranteed from the onset. Every one is against us. We must not give up.",1 month ago,0.0,UgwqdW1noyxrTr4Sp4B4AaABAg,0,0.0,2017-11-08 04:47:32.694,Alfred The Great,black,[]
Default,False,Black women have a bad smell,1 month ago,1.0,UgxC6--LzXFrs4uRomR4AaABAg,1,2.0,2017-11-08 04:47:44.796,T St,black,[]
2,True,"I would tell you before worrying about condemning others to ask yourself if you are an adulterer. The Bible tells us in Matthew 5:27-28 that having any sexual thoughts about any woman you are not married too is adultery, since the Bible is never wrong I assume this even includes any woman you intended to marry.  And all good Christians know Leviticus 20:10 and Deuteronomy 22:22 calls for adulterers to be put to death. So what is the name of someone that wants others to follow their beliefs while they don;t even follow them themselves.....hypocrite was it? Vile religious double standard prick.",8 months ago,0.0,UgyHddDicxNkzrKlPKJ4AaABAg,1,0.0,2017-04-05 04:41:51.912,equalism 42,lgbt,[]
Default,False,WHO EVER OWNS THIS ACCOUNT IS THE SON OF SATAN. The Pastor is RIGHT. The Karadasian is just doing those filthy things because of money. obviously if you become the cover of magazine most especially VANITY FAIR im sure that this publisher would give him/her/it millions of dollar....,2 years ago,0.0,UgjpVtjkCmFljHgCoAEC,0,0.0,2015-12-05 04:46:08.469,Jay santis,lgbt,[]
9,True,"I hope all cops go to hell, and get raped by the devils.",2 months ago,1.0,UgxdW9DMW7aSDHyP2jV4AaABAg,1,1.0,2017-10-08 04:46:09.471,stealthboy316,black,[]
8,True,You did a great thing. Don’t let getting locked up by some stupid cop get u down. These young Turks are assholes that take stuff out of context to have something to talk about. There pricks! But you did a wonderful thing. They apparently put cuffs on you to make sure they sort everything out without letting a bad guy go. These young Turks are looking for trouble. They should be locked up. He’s full of shit. You don’t have prayers for getting detained!  Young Turks are assholes !,2 weeks ago,0.0,UgznSNIgrAFyS-H7moh4AaABAg,0,0.0,2017-11-29 05:29:39.070,James ostraco,black,[]
8,True,"It doesnt matter the religion you profess, if you see a person being hated for his beliefs that is defenetely wrong.",2 years ago,0.0,UggR1bvv10xaoXgCoAEC,0,0.0,2016-01-05 16:24:35.088,Jauckor,jews,[]
Default,False,fuck kikes,4 years ago,0.0,Ugz6oRurYU3aJbtMX7p4AaABAg,0,0.0,2013-12-05 09:13:50.882,iranian soldier,jews,[]
Default,False,Fucking Jamaicans don't talk like that,1 month ago,0.0,UgzM2BXt9e0I1DrRsjZ4AaABAg,0,0.0,2017-11-08 04:47:48.745,Ashlei Ottar,black,[]
Default,False,If we beliefe that the Old Testament was given by Allah he says there that his Connection with Ben Israel is forever  nö Other Nation  will replace them  they are called the children Off Allah  a Child will allways be Child if Listen Or Not Listen,4 years ago,0.0,UgxbECEShYEBsgElHox4AaABAg,0,0.0,2013-12-05 09:16:01.321,sjaak de mecato,jews,[]
Default,False,Proverbs 17:11 says> An evil man seeks only rebellion; therefore a stern and pitiless messenger shall be against him.,2 years ago,0.0,UggkxbSBdrRdjXgCoAEC,0,0.0,2015-12-05 04:47:18.551,Sonja M.,lgbt,[]
"4,8",True,"""The Jews did this, the Jews did that"" just stop, okay? Stop blaming a whole religion for something a few people did. If you see a kid walking down the street that just happens to follow a religion that's apparently known for something bad, is it that kid's fault? Noo.. It's not. This goes with every religion. Just stop discriminating! I'm Muslim, and to anyone out there that has been discriminated against by a Muslim, I would like to apologize, please know that we are not the same. Whenever there's a large group of people, at least some of them are trolls and ignorant, just like on the internet..",3 years ago,0.0,UgivlfxRPzStGngCoAEC,4,0.0,2015-01-05 16:27:15.231,Samar3210,jews,[]
"7,3",True,"""Homosexuality is destructive to humanity"" yeah cause telling teenagers to suppress their sexuality would not at all cause a  sharp rise in teen suucide",4 months ago,0.0,UghP2jCe9hUzIHgCoAEC,0,0.0,2017-08-05 04:41:22.951,Sam H,lgbt,[]
Default,False,Pastor speaks sense!,2 months ago,0.0,UgyzT0BEJJTdy_qtZId4AaABAg,0,0.0,2017-10-05 04:46:59.740,James Smith,lgbt,[]
Default,False,why not obey?  this is blacks main problem,2 months ago,1.0,Ugx2wpYMhUzruExZXZ14AaABAg,0,1.0,2017-10-08 04:46:13.914,Al Job,black,[]
Default,False,The jews are cursed by God,3 weeks ago,0.0,UgxV-EyV9wJhOqaNEip4AaABAg,0,0.0,2017-11-14 09:12:50.087,Josue Rodriguez,jews,[]
Default,False,islam does not justify the need  for evidence.. Quran is that evidence.. it is a law.. but it will be a law when you read it.. like you said many people read the Quran without knowing the meaning.. perhaps due to their negligence of the messages have made some resorting to violence.. there are many translations of the Quran in utube.. disbelievers dont want to read the Quran because they do not want to be frightened by the messages it conveys.. millions memorise the Quran.. a miracle..,4 years ago,0.0,UgzK65hrIa6-7HnweX54AaABAg,0,0.0,2013-12-05 09:16:09.492,semarakapini kampung,jews,[]
9,True,racists bitches,5 months ago,0.0,Ugixiod_fQhUF3gCoAEC,0,0.0,2017-07-08 04:46:49.535,Vontavian Latham,black,[]
Default,False,I just wish people would fucking get along.,1 week ago,0.0,UgyNcDa2FkF1V4W9xyZ4AaABAg,0,0.0,2017-12-01 04:47:07.569,KittyThaKiller,black,[]
Default,False,"@72Yonatan Yeah, you're right! You're the chosen ones while we're here for no reason! You don't know how that makes non-Jews feel. It conflicts with logic. A handful of Jews to rule us. How ingenious!",5 years ago,0.0,UgxcRllr2Dovcl_fqaB4AaABAg,0,0.0,2012-12-05 09:17:06.716,enesquest,jews,[]
Default,False,"@mercyshalom Are you are Jew/Christian? Let me clear something up, we as Muslims believe in Jesus. He was the Messiah, we respect him, he was a noble & pious Prophet & Messenger of God! He did perform miracles, it says so in the Qur'an also, but that was with the permission (and will) of God Almighty! Israel were chosen, read the Qur'an, how many times did they break their convenants? Yet God was ready to forgive them! Untill the last Israelite Prophet (Jesus). (More)",6 years ago,0.0,UgwcDUeEcxigAy9WI7F4AaABAg,0,0.0,2011-12-05 09:17:34.858,belikova01,jews,[]
4,True,"This is why being a Christian sucks sometimes , one asshole fucks it up for all of us",4 years ago,0.0,Ugwtyvv9J9Tl5BDUU2N4AaABAg,0,0.0,2013-12-05 04:47:40.059,Gojira,lgbt,[]
5,True,Wtf,1 month ago,0.0,UgwywoSqH4HVay_77lB4AaABAg,0,0.0,2017-11-08 04:47:41.206,awsome U.S.A,black,[]
9,True,Really cops arrested defender of women? Cops are stupid,2 months ago,1.0,Ugxrupc04i4G6FRaizJ4AaABAg,0,1.0,2017-10-13 05:30:10.335,Kade Hettrich,black,[]
2,True,"The bible is a book. FICTION. not non fiction- written by man, redacted by man, your god- if one truly does exist did not speak to man from on high. Your book is full of doublets and contradictions, lessons and morals which you all seems to love to pick and choose from. Strike the faggot down but shellfish and slavery are cool. Your Apostles are fiction, and your jesus is an imaginary friend for grown ups. You attack my beliefs and my life, and I'm coming for yours",5 years ago,0.0,UgzTxe2r1d9l5qBl7jN4AaABAg,0,0.0,2012-12-05 04:48:22.986,ComeAlongDoctor,lgbt,[]
Default,False,Boo-hoo hoo... white trumpanzees are so picky in who they defend...,1 year ago,1.0,Uggdzw2Qy68VQngCoAEC,9,2.0,2017-01-05 16:23:31.678,frank magadan,jews,[]
7,True,"when did we start making sitcom stars a moral authority, this guys best friend was named Boner for Christ sake!",2 years ago,0.0,Ugi-v-4tSMgMuHgCoAEC,0,0.0,2015-12-05 04:45:29.740,sean mcginn,lgbt,[]
9,True,In least we don't go bragging about how we love to be black racist lady the colour your born is the colour your going to be your whole life you don't deserve any subscribers you make me feel sick of the way you are talking about black people we are going to report you.,1 month ago,0.0,Ugx2eIXD02vHWyWGgMx4AaABAg,0,0.0,2017-11-08 04:47:59.115,tete Martins,black,[]
8,True,"Its sad that america is seen as what that old fat guy thinks. Most people dont understand that they are the minority of people. The majority of people are good,decent and inclusive people.",2 years ago,0.0,UgjB2YrRT6uSwHgCoAEC,0,0.0,2016-01-05 16:25:17.029,fireice2037,jews,[]
9,True,"""Fags and lesbos""?  ""TURD Suckers""? lol What Christian uses these vile terms?  You are the biggest ""Turd"" on Youtube.    A dozen sad bigots clapping to bigotry and prejudice .lol",2 years ago,1.0,UggFIOy5VB8cJHgCoAEC,24,47.0,2015-12-05 04:47:31.067,superstubes,lgbt,[]
1,True,"It's simple to prove Cameron is a liar because (like the majority of so-called Christians) he's too laxy to look closely at the original language texts and actually READ his Bible. Biologists, notably Tim Clutton-Brock of the University of Cambridge - has done a mountain or research and found the behavior prevalent in a percentage of virtually all mammals.  As groups like the g0ys (spelled w. a zer0 ) point out - Brock also explains that: "" that ""true"" homosexuality -- if strictly defined as male anal penetration by males who show no interest in females -- is virtually unknown among wild mammals."".  Leviticus forbids that specific ACT - not same gender affection.  To begin the 1st day of you lifetime paradigm shift: G00GLE G0YS (spelled w. a zer0).",3 months ago,1.0,UgyYS2xz9my_75MDlVt4AaABAg,1,3.0,2017-09-05 04:41:12.762,Gimmel Yod,lgbt,[]
Default,False,I would not allow any religious flyers in the window of my business. Religion is mental illness.,6 days ago,0.0,Ugx0c2bfkh0OA6Fd8F54AaABAg,1,0.0,2017-12-30 16:22:31.806,D N,jews,[]
Default,False,I feel like becoming a cop just to show that there not all bad but am to lazy and a kid,5 months ago,0.0,UghQPO5ztk9M13gCoAEC,0,0.0,2017-07-08 04:46:46.755,the turtle gamer,black,[]
"5,9",True,What a hateful twat.,2 years ago,0.0,UghpuohwaL3g7ngCoAEC,1,0.0,2015-12-05 04:45:52.224,ZacDarklord,lgbt,[]
Default,False,Piers Morgan was a dipshit,2 years ago,1.0,UgjDO9dd2gQK73gCoAEC,0,22.0,2015-12-05 04:45:00.655,Levi Meade,lgbt,[]
9,True,thats why I dont play hero....its a color judged country -,1 month ago,0.0,UgyzLSuwfbTS2qPYTYh4AaABAg,0,0.0,2017-11-13 05:29:50.256,dean martin,black,[]
9,True,"Pastor Manning, you are a disgraceful human being.  Shame on you!",1 year ago,0.0,UggrVtzmIi36FXgCoAEC,1,0.0,2016-12-05 04:47:06.758,Daniel Nelson,lgbt,[]
"4,8",True,"It's sad to hear this from someone I grew with. I admired him and kinda loved him as much as his sister while I grew up that I feel they're like family. But obviously we weren't raised nearly the same. I am a Christian and I believe that God gave us free will for one good reason and that's who we choose to love. Sad, Kirk, very to hear this.",8 months ago,1.0,UgiTRcv9pZI4Y3gCoAEC,0,5.0,2017-04-05 04:41:54.226,andreachidisima,lgbt,[]
Default,False,"In May 2005 the PA's information minister, Nabil Shaath, who is in charge of PA TV, promised to ""suspend Mudeiris and prevent him from delivering further sermons."" Accords when Mr. Shaath was in power. The PA's denouncement of a particular sermon came not over a fundamental disagreement with Mr. Mudeiris's beliefs, but rather as a prelude to Abu Mazen's upcoming Washington visit.",10 years ago,0.0,Ugy96DwxiteWdnSDbu14AaABAg,0,0.0,2007-12-05 09:46:43.658,Iseld,jews,[]
Default,False,"@recalibration Jews did many things wrong including worshipping a calf, disobeying Moses and rejecting Jesus",5 years ago,0.0,Ugz7jaZwNns6Z-8dxkF4AaABAg,0,0.0,2012-12-05 09:16:47.582,LastRambo341,jews,[]
Default,False,"percaye la pade allah,ape hal yg ko pi bace bible
allah maha mengetahui,msti la jews tu terok sngt smpai dlaknat di dlm quran",6 years ago,0.0,Ugzb9r2Pj4m7xxbijWd4AaABAg,0,0.0,2011-12-05 09:17:30.820,lim lit,jews,[]
Default,False,"I didn't know Allah chose the Jews I always thought he chose the Arabs, but now it does make sense since most prophets are from Israel.",2 years ago,1.0,UgibEoxLPZ5pFXgCoAEC,0,2.0,2015-12-05 09:14:17.764,Ni Blue,jews,[]
5,True,Wtf is this,1 month ago,0.0,UgyfXcx8XqnuUGBaSGB4AaABAg,0,0.0,2017-11-08 04:48:06.096,NBA Congo,black,[]
Default,False,Hasan is such a cuck!,1 month ago,0.0,Ugza200EyQM-nr3qgBl4AaABAg,0,0.0,2017-11-13 05:29:46.536,Dan Salazar,black,[]
Default,False,@heavenswindsong Your profile is completely blank. I wonder why? (Sarcasm),6 years ago,0.0,UgzgKkb5ZQ0Y6JsjHs94AaABAg,0,0.0,2011-12-05 09:17:39.888,Bean,jews,[]
9,True,These are the types of cops that should be handed over to Isis!!! Let them take care of them!! Fuc** pieces of animal droppings!!!!,2 months ago,0.0,Ugwb0R-bqYlr9CN0idN4AaABAg,0,0.0,2017-10-08 04:46:02.527,hugo chavez,black,[]
