Category,CounterSpeech,commentText,date,hasReplies,id,likes,numberOfReplies,timestamp,user,Community,replies
Default,False,yes doesnt mean much bad things many times done bad things anger strong influences moment payed least good maybe payed spiritual world exist maybe gods satans think accepting sooo hard least possibility human mind created spiritual world strange looks like rejecting god spiritual world,5 years ago,0.0,UgzzGmL7o4wPhCGCMxZ4AaABAg,0,0.0,2012-12-05 09:16:50.622,ddf0dr1v3r2,jews,[]
Default,False,oy vey clerk like anuddah holocaust,3 years ago,0.0,UgiYa92t4pBkOHgCoAEC,0,0.0,2015-01-05 16:27:02.800,Trid,jews,[]
8,True,muslims dont hate indivisual people may different opinions many jews past kill many islamic prophets says quran doesnt mean muslims hate saying muslim converted christianity aethism muslims god told people close certain group would christian jews dont believe research instead pulling ignorance mind,4 years ago,0.0,Ugyqsimx4P1Cql1lYgx4AaABAg,0,0.0,2013-12-05 09:13:04.094,viaana victoria,jews,[]
Default,False,’ like sorta true,2 months ago,0.0,UgxBzOVWEXNTNxGEVmp4AaABAg,0,0.0,2017-10-08 04:48:14.328,Eliza,black,[]
Default,False,rip hitler alhamdulelah,5 years ago,0.0,Ugwtu6wMssTtlT6tXjR4AaABAg,0,0.0,2012-12-05 09:13:15.585,therealghaddar,jews,[]
Default,False,mrsword reaaaally regret saying,6 years ago,0.0,UgylT5GU4guNTqgY7UZ4AaABAg,0,0.0,2011-12-05 09:17:14.615,shahmeer lodi,jews,[]
Default,False,fuck jews,6 years ago,0.0,UgzeRRoASu1WkcEeQn94AaABAg,0,0.0,2011-12-05 09:14:04.264,Roof2,jews,[]
Default,False,question islam believe world domination,6 years ago,0.0,UgyfsuY_eoe7JkfDvCd4AaABAg,0,0.0,2011-12-05 09:17:15.825,mjhgiug hjfyt,jews,[]
Default,False,wow great answer kirk,3 weeks ago,0.0,Ugxw0M4cNy4tTNkYDNt4AaABAg,0,0.0,2017-11-14 04:40:57.115,Bob,lgbt,[]
Default,False,hate us history repeats current technology available back ww jewish people internet like us muslims today would hated nazi like people hate muslims today west probably thought germans nazi started hating ask west think germans today dont hate germans today wrong people even buy german made cars days,4 years ago,0.0,Ugwen8KoecZvGKOdmuB4AaABAg,0,0.0,2013-12-05 09:13:07.948,Qyuubi786,jews,[]
Default,False,gay god forgives us says put death means spspiritual,2 years ago,0.0,UghlBeLrCvlqy3gCoAEC,0,0.0,2015-12-05 04:47:32.714,Yvette Sandoval,lgbt,[]
Default,False,left started pushing identity politics think dialectic starting logical ends either white people stay disorganized disunited destroyed organize defend means defending antiwhite peoplecucks video mother nature pretty much demanding events somewhat turn two events thus white people going tribal back roots already guaranteed onset every us must give,1 month ago,0.0,UgwqdW1noyxrTr4Sp4B4AaABAg,0,0.0,2017-11-08 04:47:32.694,Alfred The Great,black,[]
Default,False,black women bad smell,1 month ago,1.0,UgxC6--LzXFrs4uRomR4AaABAg,1,2.0,2017-11-08 04:47:44.796,T St,black,[]
2,True,would tell worrying condemning others ask adulterer bible tells us matthew sexual thoughts woman married adultery since bible never wrong assume even includes woman intended marry good christians know leviticus deuteronomy calls adulterers put death someone wants others follow beliefs dont even follow themselveshypocrite vile religious double standard prick,8 months ago,0.0,UgyHddDicxNkzrKlPKJ4AaABAg,1,0.0,2017-04-05 04:41:51.912,equalism 42,lgbt,[]
Default,False,ever owns account satan pastor right karadasian filthy things money obviously become cover magazine especially vanity fair sure publisher would give himherit millions dollar,2 years ago,0.0,UgjpVtjkCmFljHgCoAEC,0,0.0,2015-12-05 04:46:08.469,Jay santis,lgbt,[]
9,True,hope cops go hell get raped devils,2 months ago,1.0,UgxdW9DMW7aSDHyP2jV4AaABAg,1,1.0,2017-10-08 04:46:09.471,stealthboy316,black,[]
8,True,great thing ’ let getting locked stupid cop get young turks assholes stuff context something talk pricks wonderful thing apparently put cuffs make sure sort everything without letting bad guy go young turks looking trouble locked ’ full shit ’ prayers getting detained young turks assholes,2 weeks ago,0.0,UgznSNIgrAFyS-H7moh4AaABAg,0,0.0,2017-11-29 05:29:39.070,James ostraco,black,[]
8,True,doesnt matter religion profess see person hated beliefs defenetely wrong,2 years ago,0.0,UggR1bvv10xaoXgCoAEC,0,0.0,2016-01-05 16:24:35.088,Jauckor,jews,[]
Default,False,fuck kikes,4 years ago,0.0,Ugz6oRurYU3aJbtMX7p4AaABAg,0,0.0,2013-12-05 09:13:50.882,iranian soldier,jews,[]
Default,False,fucking jamaicans dont talk like,1 month ago,0.0,UgzM2BXt9e0I1DrRsjZ4AaABAg,0,0.0,2017-11-08 04:47:48.745,Ashlei Ottar,black,[]
Default,False,beliefe old testament given allah says connection israel forever nö nation replace called children allah child allways child listen listen,4 years ago,0.0,UgxbECEShYEBsgElHox4AaABAg,0,0.0,2013-12-05 09:16:01.321,sjaak de mecato,jews,[]
Default,False,proverbs says evil seeks rebellion therefore stern pitiless messenger shall,2 years ago,0.0,UggkxbSBdrRdjXgCoAEC,0,0.0,2015-12-05 04:47:18.551,Sonja M.,lgbt,[]
"4,8",True,jews jews stop okay stop blaming whole religion something people see kid walking street happens follow religion thats apparently known something bad kids fault noo goes every religion stop discriminating muslim anyone discriminated muslim would like apologize please know whenever theres large group people least trolls ignorant like internet,3 years ago,0.0,UgivlfxRPzStGngCoAEC,4,0.0,2015-01-05 16:27:15.231,Samar3210,jews,[]
"7,3",True,homosexuality destructive humanity yeah cause telling teenagers suppress sexuality would cause sharp rise teen suucide,4 months ago,0.0,UghP2jCe9hUzIHgCoAEC,0,0.0,2017-08-05 04:41:22.951,Sam H,lgbt,[]
Default,False,pastor speaks sense,2 months ago,0.0,UgyzT0BEJJTdy_qtZId4AaABAg,0,0.0,2017-10-05 04:46:59.740,James Smith,lgbt,[]
Default,False,obey blacks main problem,2 months ago,1.0,Ugx2wpYMhUzruExZXZ14AaABAg,0,1.0,2017-10-08 04:46:13.914,Al Job,black,[]
Default,False,jews cursed god,3 weeks ago,0.0,UgxV-EyV9wJhOqaNEip4AaABAg,0,0.0,2017-11-14 09:12:50.087,Josue Rodriguez,jews,[]
Default,False,islam justify need evidence quran evidence law law read like said many people read quran without knowing meaning perhaps due negligence messages made resorting violence many translations quran utube disbelievers dont read quran frightened messages conveys millions memorise quran miracle,4 years ago,0.0,UgzK65hrIa6-7HnweX54AaABAg,0,0.0,2013-12-05 09:16:09.492,semarakapini kampung,jews,[]
9,True,racists bitches,5 months ago,0.0,Ugixiod_fQhUF3gCoAEC,0,0.0,2017-07-08 04:46:49.535,Vontavian Latham,black,[]
Default,False,wish people would fucking get along,1 week ago,0.0,UgyNcDa2FkF1V4W9xyZ4AaABAg,0,0.0,2017-12-01 04:47:07.569,KittyThaKiller,black,[]
Default,False,yonatan yeah youre right youre chosen ones reason dont know makes nonjews feel conflicts logic handful jews rule us ingenious,5 years ago,0.0,UgxcRllr2Dovcl_fqaB4AaABAg,0,0.0,2012-12-05 09:17:06.716,enesquest,jews,[]
Default,False,mercyshalom jewchristian let clear something muslims believe jesus messiah respect noble pious prophet messenger god perform miracles says quran permission god almighty israel chosen read quran many times break convenants yet god ready forgive untill last israelite prophet jesus,6 years ago,0.0,UgwcDUeEcxigAy9WI7F4AaABAg,0,0.0,2011-12-05 09:17:34.858,belikova01,jews,[]
4,True,christian sucks sometimes asshole fucks us,4 years ago,0.0,Ugwtyvv9J9Tl5BDUU2N4AaABAg,0,0.0,2013-12-05 04:47:40.059,Gojira,lgbt,[]
5,True,wtf,1 month ago,0.0,UgwywoSqH4HVay_77lB4AaABAg,0,0.0,2017-11-08 04:47:41.206,awsome U.S.A,black,[]
9,True,really cops arrested defender women cops stupid,2 months ago,1.0,Ugxrupc04i4G6FRaizJ4AaABAg,0,1.0,2017-10-13 05:30:10.335,Kade Hettrich,black,[]
2,True,bible book fiction fiction written redacted god truly exist speak high book full doublets contradictions lessons morals seems love pick choose strike faggot shellfish slavery cool apostles fiction jesus imaginary friend grown ups attack beliefs life coming,5 years ago,0.0,UgzTxe2r1d9l5qBl7jN4AaABAg,0,0.0,2012-12-05 04:48:22.986,ComeAlongDoctor,lgbt,[]
Default,False,boohoo hoo white trumpanzees picky defend,1 year ago,1.0,Uggdzw2Qy68VQngCoAEC,9,2.0,2017-01-05 16:23:31.678,frank magadan,jews,[]
7,True,start making sitcom stars authority guys best friend named boner christ sake,2 years ago,0.0,Ugi-v-4tSMgMuHgCoAEC,0,0.0,2015-12-05 04:45:29.740,sean mcginn,lgbt,[]
9,True,least dont go bragging love black racist lady colour born colour going whole life dont deserve subscribers make feel sick way talking black people going report,1 month ago,0.0,Ugx2eIXD02vHWyWGgMx4AaABAg,0,0.0,2017-11-08 04:47:59.115,tete Martins,black,[]
8,True,sad america seen old fat guy thinks people dont understand minority people majority people gooddecent inclusive people,2 years ago,0.0,UgjB2YrRT6uSwHgCoAEC,0,0.0,2016-01-05 16:25:17.029,fireice2037,jews,[]
9,True,fags lesbos turd suckers lol christian uses vile terms biggest turd youtube dozen sad bigots clapping bigotry prejudice lol,2 years ago,1.0,UggFIOy5VB8cJHgCoAEC,24,47.0,2015-12-05 04:47:31.067,superstubes,lgbt,[]
1,True,simple prove cameron liar like majority socalled christians hes laxy look closely original language texts actually read bible biologists notably tim cluttonbrock university cambridge done mountain research found behavior prevalent percentage virtually mammals groups like gys spelled w zer point brock explains true homosexuality strictly defined male anal penetration males show interest females virtually unknown among wild mammals leviticus forbids specific act gender affection begin st day lifetime paradigm shift ggle gys spelled w zer,3 months ago,1.0,UgyYS2xz9my_75MDlVt4AaABAg,1,3.0,2017-09-05 04:41:12.762,Gimmel Yod,lgbt,[]
Default,False,would allow religious flyers window business religion mental illness,6 days ago,0.0,Ugx0c2bfkh0OA6Fd8F54AaABAg,1,0.0,2017-12-30 16:22:31.806,D N,jews,[]
Default,False,feel like becoming cop show bad lazy kid,5 months ago,0.0,UghQPO5ztk9M13gCoAEC,0,0.0,2017-07-08 04:46:46.755,the turtle gamer,black,[]
"5,9",True,hateful twat,2 years ago,0.0,UghpuohwaL3g7ngCoAEC,1,0.0,2015-12-05 04:45:52.224,ZacDarklord,lgbt,[]
Default,False,piers morgan dipshit,2 years ago,1.0,UgjDO9dd2gQK73gCoAEC,0,22.0,2015-12-05 04:45:00.655,Levi Meade,lgbt,[]
9,True,thats dont play heroits color judged country,1 month ago,0.0,UgyzLSuwfbTS2qPYTYh4AaABAg,0,0.0,2017-11-13 05:29:50.256,dean martin,black,[]
9,True,pastor manning disgraceful human shame,1 year ago,0.0,UggrVtzmIi36FXgCoAEC,1,0.0,2016-12-05 04:47:06.758,Daniel Nelson,lgbt,[]
"4,8",True,sad hear someone grew admired kinda loved much sister grew feel theyre like family obviously werent raised nearly christian believe god gave us free good reason thats choose love sad kirk hear,8 months ago,1.0,UgiTRcv9pZI4Y3gCoAEC,0,5.0,2017-04-05 04:41:54.226,andreachidisima,lgbt,[]
Default,False,may information minister nabil shaath charge tv promised suspend mudeiris prevent delivering sermons accords mr shaath power denouncement particular sermon came fundamental disagreement mr mudeiriss beliefs rather prelude abu mazens upcoming washington visit,10 years ago,0.0,Ugy96DwxiteWdnSDbu14AaABAg,0,0.0,2007-12-05 09:46:43.658,Iseld,jews,[]
Default,False,recalibration jews many things wrong including worshipping calf disobeying moses rejecting jesus,5 years ago,0.0,Ugz7jaZwNns6Z-8dxkF4AaABAg,0,0.0,2012-12-05 09:16:47.582,LastRambo341,jews,[]
Default,False,percaye pade allahape yg pi bace bible allah maha mengetahuimsti jews terok sngt smpai dlaknat dlm quran,6 years ago,0.0,Ugzb9r2Pj4m7xxbijWd4AaABAg,0,0.0,2011-12-05 09:17:30.820,lim lit,jews,[]
Default,False,didnt know allah chose jews always thought chose arabs make sense since prophets israel,2 years ago,1.0,UgibEoxLPZ5pFXgCoAEC,0,2.0,2015-12-05 09:14:17.764,Ni Blue,jews,[]
5,True,wtf,1 month ago,0.0,UgyfXcx8XqnuUGBaSGB4AaABAg,0,0.0,2017-11-08 04:48:06.096,NBA Congo,black,[]
Default,False,hasan cuck,1 month ago,0.0,Ugza200EyQM-nr3qgBl4AaABAg,0,0.0,2017-11-13 05:29:46.536,Dan Salazar,black,[]
Default,False,heavenswindsong profile completely blank wonder sarcasm,6 years ago,0.0,UgzgKkb5ZQ0Y6JsjHs94AaABAg,0,0.0,2011-12-05 09:17:39.888,Bean,jews,[]
9,True,types cops handed isis let fuc pieces animal droppings,2 months ago,0.0,Ugwb0R-bqYlr9CN0idN4AaABAg,0,0.0,2017-10-08 04:46:02.527,hugo chavez,black,[]
9,True,example virgin mary look dresed first thing mind conection sex conection god,7 years ago,0.0,UgwFV9ifR68hixwnsZF4AaABAg,0,0.0,2010-12-05 09:14:07.618,MORFIUS004,jews,[]
9,True,throw whole girl away dont get,2 months ago,0.0,UgwjwYwjri00nXJoOex4AaABAg,0,0.0,2017-10-08 04:48:13.008,Tessla Wilson,black,[]
Default,False,putting race protocol police detain involved find truth use f racebaiters,1 week ago,0.0,UgwV_BPaoD9Dmj8Xg054AaABAg,0,0.0,2017-12-06 05:29:37.146,Timothy Speicher,black,[]
Default,False,dont find offensive uncomfortable watching near white friend,1 week ago,0.0,UgzcpPoA8x41eh9kNIx4AaABAg,0,0.0,2017-12-01 04:47:09.229,Khaos-Steroid,black,[]
2,True,waithis literally jesus literally preaching jesuswow people faith become b,2 years ago,0.0,UghwVK4wTfTAg3gCoAEC,0,0.0,2015-12-05 04:45:46.303,TheArbiterOfTruth,lgbt,[]
Default,False,stood ground guy looking keep ratings,1 month ago,0.0,UgwYHrnolHxFvpaFP_B4AaABAg,0,0.0,2017-11-05 04:41:00.261,Devin Rogers,lgbt,[]
4,True,could everyone shut gay christian go hell gon make best life life,6 months ago,0.0,UgiCq69cA3AvtngCoAEC,0,0.0,2017-06-05 04:41:41.981,billies21guns ',lgbt,[]
Default,False,mins appearently disturbing oppinions show fucking jewish shit rofl,4 years ago,0.0,UgiwbJfIgItEVHgCoAEC,0,0.0,2014-01-05 16:27:45.261,JORGINSON,jews,[]
"3,9",True,wwyd scenarios wouldnt hidden camera scenarios would bitch slapped guy even though hes actor,3 months ago,0.0,UgwQagPl42b6L0Picd14AaABAg,0,0.0,2017-10-05 16:22:44.626,kc 3182x,jews,[]
4,True,black hell earth,5 days ago,0.0,Ugxr5EaV-rtwZxaazex4AaABAg,0,0.0,2017-12-08 05:29:36.175,Harsh Mohan,black,[]
Default,False,hasan piker claim moise arrested detained detention normal procedure instance like moise released story explores real issue,2 months ago,0.0,Ugz05BuUwQTUmEilEKN4AaABAg,0,0.0,2017-10-13 05:30:06.401,Bickle's the Bomb! 龍大海,black,[]
7,True,turd snifters turd eaters toilet flusher best comedian ever,1 year ago,0.0,UgiS6kmjv-2nUHgCoAEC,0,0.0,2016-12-05 04:47:06.748,Jason Voorhees,lgbt,[]
Default,False,angelicvoice jews many prophets among killed kill childrens would happened people noah lot others cursed destroyed god know fact bro dont curse invite truth,5 years ago,0.0,UgxC5x32IfP87JOmqFJ4AaABAg,0,0.0,2012-12-05 09:17:08.852,syed elahi,jews,[]
Default,False,challenge show quran says worship creator pray creator curse lie,5 years ago,0.0,UgyBS5GjAja4O500a5t4AaABAg,0,0.0,2012-12-05 09:16:43.588,ghs224,jews,[]
8,True,think religion bad thing doesnt mean everyone practices part crazy global agendamost pretty nice,3 years ago,0.0,Ugi9nIDY1TzNxHgCoAEC,0,0.0,2015-01-05 16:27:10.087,TheShockmaster,jews,[]
8,True,school right crying,2 months ago,0.0,Ugx5XdbR_Mv7-AH_0Gl4AaABAg,0,0.0,2017-10-08 04:46:11.182,Linda Halim,black,[]
9,True,racist clerk actor character hitlers little boy,9 months ago,0.0,UghelN2KIEJ60XgCoAEC,0,0.0,2017-04-05 16:23:21.280,daniel cardenas,jews,[]
5,True,muslims hate jews conflict israel israel nation existing time islamquran allah cursed jews person written books modified quran godallah merciful hate mass group jews dr zakir spreading hatred allah,3 years ago,0.0,UggnjgAK9lLp0ngCoAEC,0,0.0,2014-12-05 09:14:47.807,drs drs,jews,[]
Default,False,wasnt properly missed probably didnt read,4 years ago,0.0,UgxX1lyxoWAlQSatr9t4AaABAg,0,0.0,2013-12-05 09:12:52.282,Alawi boss,jews,[]
9,True,believe think fuck cares believe think feelings dont make bit fuckin difference narcissistic prick,1 year ago,0.0,Ugh1CEXEuC7oGHgCoAEC,0,0.0,2016-12-05 04:42:17.852,Jack Jack,lgbt,[]
9,True,latoya like white girl black people,1 month ago,0.0,Ugyh6FnDJs-GthRRH3B4AaABAg,0,0.0,2017-11-08 04:48:04.327,Aryan Curry in a Hurry Gotur,black,[]
Default,False,sorry highlight worse things honorable field work heres statistics percent shot white percent shot black percent shot hispanic percent shot qualification percent unknown enough around percent blacks armed gun knife includes nine blacks vehicle include toy weapon unknown percent blacks shot unarmed whites percent armed mind increase blacks whites shot percent unarmed theres statistics ive calculated accordingly washington post website would like go back way cops used back baton revolver would rather stay like many nonlethal options disband cops completely go ahead disband cops lets see like get robbed murdered raped assaulted without anyone protect disarm cops fine lets go ahead send women protecting fight criminals armed guns bullets lets see number cops year rise ones make life protect people lets crooked ones make stars truly honorable profession,4 months ago,0.0,UgiAY-NpV3jHPXgCoAEC,0,0.0,2017-08-08 04:46:35.454,Deathknigh,black,[]
